experiment_key,video_key,video_path,baseline_path,scene,model_key,model_display_name,architecture,variant,model_path,tracker,tracker_cfg,region_mode,region_points,detector_conf,detector_iou,class_filter,frames_processed,video_total_frames,video_fps,processing_seconds,processing_fps,segments,unique_tracks_with_region_segments,total_dwell_time_s,avg_dwell_time_s,avg_conf_in_region,outputs
mubi_road__yolo11l_default__botsort__full_frame,mubi_road,./datasets/test/20260131_170349h_mubi_road.mp4,./baseline/mubi_road_mp4_baseline_vehicle_count.csv,"evening, higher congestion, cloudy / low visibility",yolo11l_default,YOLO11l default,YOLO11l,default,yolo11l.pt,botsort,botsort.yaml,full_frame,"[(320, 600), (1280, 600), (1280, 560), (320, 560)]",0.25,0.45,"[2, 3, 5, 7]",12600,12600,30.0,238.33897399902344,52.86588168350354,2837,2837,611982.6666666665,215.71472212430967,0.39750565620768996,"{'segments_csv': 'results/ablation_suite_full/mubi_road/mubi_road__yolo11l_default__botsort__full_frame/region_segments.csv', 'summary_json': 'results/ablation_suite_full/mubi_road/mubi_road__yolo11l_default__botsort__full_frame/summary.json', 'per_frame_csv': 'results/ablation_suite_full/mubi_road/mubi_road__yolo11l_default__botsort__full_frame/per_frame.csv', 'annotated_video': 'results/ablation_suite_full/mubi_road/mubi_road__yolo11l_default__botsort__full_frame/annotated.mp4'}"
mubi_road__yolo11l_default__botsort__roi,mubi_road,./datasets/test/20260131_170349h_mubi_road.mp4,./baseline/mubi_road_mp4_baseline_vehicle_count.csv,"evening, higher congestion, cloudy / low visibility",yolo11l_default,YOLO11l default,YOLO11l,default,yolo11l.pt,botsort,botsort.yaml,roi,"[(320, 600), (1280, 600), (1280, 560), (320, 560)]",0.25,0.45,"[2, 3, 5, 7]",12600,12600,30.0,237.12528467178345,53.13646757426256,706,629,59889.26666666666,84.82898961284229,0.5142704167481968,"{'segments_csv': 'results/ablation_suite_full/mubi_road/mubi_road__yolo11l_default__botsort__roi/region_segments.csv', 'summary_json': 'results/ablation_suite_full/mubi_road/mubi_road__yolo11l_default__botsort__roi/summary.json', 'per_frame_csv': 'results/ablation_suite_full/mubi_road/mubi_road__yolo11l_default__botsort__roi/per_frame.csv', 'annotated_video': 'results/ablation_suite_full/mubi_road/mubi_road__yolo11l_default__botsort__roi/annotated.mp4'}"
mubi_road__yolo11l_default__bytetrack__full_frame,mubi_road,./datasets/test/20260131_170349h_mubi_road.mp4,./baseline/mubi_road_mp4_baseline_vehicle_count.csv,"evening, higher congestion, cloudy / low visibility",yolo11l_default,YOLO11l default,YOLO11l,default,yolo11l.pt,bytetrack,bytetrack.yaml,full_frame,"[(320, 600), (1280, 600), (1280, 560), (320, 560)]",0.25,0.45,"[2, 3, 5, 7]",12600,12600,30.0,144.10782885551453,87.43452802021616,2983,2983,637122.3999999999,213.5844451894066,0.40631759210818463,"{'segments_csv': 'results/ablation_suite_full/mubi_road/mubi_road__yolo11l_default__bytetrack__full_frame/region_segments.csv', 'summary_json': 'results/ablation_suite_full/mubi_road/mubi_road__yolo11l_default__bytetrack__full_frame/summary.json', 'per_frame_csv': 'results/ablation_suite_full/mubi_road/mubi_road__yolo11l_default__bytetrack__full_frame/per_frame.csv', 'annotated_video': 'results/ablation_suite_full/mubi_road/mubi_road__yolo11l_default__bytetrack__full_frame/annotated.mp4'}"
mubi_road__yolo11l_default__bytetrack__roi,mubi_road,./datasets/test/20260131_170349h_mubi_road.mp4,./baseline/mubi_road_mp4_baseline_vehicle_count.csv,"evening, higher congestion, cloudy / low visibility",yolo11l_default,YOLO11l default,YOLO11l,default,yolo11l.pt,bytetrack,bytetrack.yaml,roi,"[(320, 600), (1280, 600), (1280, 560), (320, 560)]",0.25,0.45,"[2, 3, 5, 7]",12600,12600,30.0,143.81976795196533,87.60965324466592,689,639,61033.399999999994,88.58258345428156,0.5204337882776775,"{'segments_csv': 'results/ablation_suite_full/mubi_road/mubi_road__yolo11l_default__bytetrack__roi/region_segments.csv', 'summary_json': 'results/ablation_suite_full/mubi_road/mubi_road__yolo11l_default__bytetrack__roi/summary.json', 'per_frame_csv': 'results/ablation_suite_full/mubi_road/mubi_road__yolo11l_default__bytetrack__roi/per_frame.csv', 'annotated_video': 'results/ablation_suite_full/mubi_road/mubi_road__yolo11l_default__bytetrack__roi/annotated.mp4'}"
mubi_road__yolo11l_tuned__botsort__full_frame,mubi_road,./datasets/test/20260131_170349h_mubi_road.mp4,./baseline/mubi_road_mp4_baseline_vehicle_count.csv,"evening, higher congestion, cloudy / low visibility",yolo11l_tuned,YOLO11l tuned,YOLO11l,tuned,runs/detect/train_yolo11l/weights/best.pt,botsort,botsort.yaml,full_frame,"[(320, 600), (1280, 600), (1280, 560), (320, 560)]",0.25,0.45,,12600,12600,30.0,227.56839108467102,55.367970656838445,1551,1551,331211.8999999999,213.5473243068987,0.4208506153724411,"{'segments_csv': 'results/ablation_suite_full/mubi_road/mubi_road__yolo11l_tuned__botsort__full_frame/region_segments.csv', 'summary_json': 'results/ablation_suite_full/mubi_road/mubi_road__yolo11l_tuned__botsort__full_frame/summary.json', 'per_frame_csv': 'results/ablation_suite_full/mubi_road/mubi_road__yolo11l_tuned__botsort__full_frame/per_frame.csv', 'annotated_video': 'results/ablation_suite_full/mubi_road/mubi_road__yolo11l_tuned__botsort__full_frame/annotated.mp4'}"
mubi_road__yolo11l_tuned__botsort__roi,mubi_road,./datasets/test/20260131_170349h_mubi_road.mp4,./baseline/mubi_road_mp4_baseline_vehicle_count.csv,"evening, higher congestion, cloudy / low visibility",yolo11l_tuned,YOLO11l tuned,YOLO11l,tuned,runs/detect/train_yolo11l/weights/best.pt,botsort,botsort.yaml,roi,"[(320, 600), (1280, 600), (1280, 560), (320, 560)]",0.25,0.45,,12600,12600,30.0,224.60184383392334,56.099272316378574,557,487,27244.499999999996,48.9129263913824,0.5566606417183483,"{'segments_csv': 'results/ablation_suite_full/mubi_road/mubi_road__yolo11l_tuned__botsort__roi/region_segments.csv', 'summary_json': 'results/ablation_suite_full/mubi_road/mubi_road__yolo11l_tuned__botsort__roi/summary.json', 'per_frame_csv': 'results/ablation_suite_full/mubi_road/mubi_road__yolo11l_tuned__botsort__roi/per_frame.csv', 'annotated_video': 'results/ablation_suite_full/mubi_road/mubi_road__yolo11l_tuned__botsort__roi/annotated.mp4'}"
mubi_road__yolo11l_tuned__bytetrack__full_frame,mubi_road,./datasets/test/20260131_170349h_mubi_road.mp4,./baseline/mubi_road_mp4_baseline_vehicle_count.csv,"evening, higher congestion, cloudy / low visibility",yolo11l_tuned,YOLO11l tuned,YOLO11l,tuned,runs/detect/train_yolo11l/weights/best.pt,bytetrack,bytetrack.yaml,full_frame,"[(320, 600), (1280, 600), (1280, 560), (320, 560)]",0.25,0.45,,12600,12600,30.0,132.55436515808105,95.05533812465211,1777,1777,382859.06666666665,215.45248546238977,0.4327155757126238,"{'segments_csv': 'results/ablation_suite_full/mubi_road/mubi_road__yolo11l_tuned__bytetrack__full_frame/region_segments.csv', 'summary_json': 'results/ablation_suite_full/mubi_road/mubi_road__yolo11l_tuned__bytetrack__full_frame/summary.json', 'per_frame_csv': 'results/ablation_suite_full/mubi_road/mubi_road__yolo11l_tuned__bytetrack__full_frame/per_frame.csv', 'annotated_video': 'results/ablation_suite_full/mubi_road/mubi_road__yolo11l_tuned__bytetrack__full_frame/annotated.mp4'}"
mubi_road__yolo11l_tuned__bytetrack__roi,mubi_road,./datasets/test/20260131_170349h_mubi_road.mp4,./baseline/mubi_road_mp4_baseline_vehicle_count.csv,"evening, higher congestion, cloudy / low visibility",yolo11l_tuned,YOLO11l tuned,YOLO11l,tuned,runs/detect/train_yolo11l/weights/best.pt,bytetrack,bytetrack.yaml,roi,"[(320, 600), (1280, 600), (1280, 560), (320, 560)]",0.25,0.45,,12600,12600,30.0,131.98235321044922,95.46730826892426,552,496,29622.099999999995,53.663224637681154,0.5608492784084734,"{'segments_csv': 'results/ablation_suite_full/mubi_road/mubi_road__yolo11l_tuned__bytetrack__roi/region_segments.csv', 'summary_json': 'results/ablation_suite_full/mubi_road/mubi_road__yolo11l_tuned__bytetrack__roi/summary.json', 'per_frame_csv': 'results/ablation_suite_full/mubi_road/mubi_road__yolo11l_tuned__bytetrack__roi/per_frame.csv', 'annotated_video': 'results/ablation_suite_full/mubi_road/mubi_road__yolo11l_tuned__bytetrack__roi/annotated.mp4'}"
mubi_road__yolo26l_default__botsort__full_frame,mubi_road,./datasets/test/20260131_170349h_mubi_road.mp4,./baseline/mubi_road_mp4_baseline_vehicle_count.csv,"evening, higher congestion, cloudy / low visibility",yolo26l_default,YOLO26l default,YOLO26l,default,yolo26l.pt,botsort,botsort.yaml,full_frame,"[(320, 600), (1280, 600), (1280, 560), (320, 560)]",0.25,0.45,"[2, 3, 5, 7]",12600,12600,30.0,214.23344445228577,58.81434634173695,746,746,155746.66666666666,208.77569258266308,0.37370470975453257,"{'segments_csv': 'results/ablation_suite_full/mubi_road/mubi_road__yolo26l_default__botsort__full_frame/region_segments.csv', 'summary_json': 'results/ablation_suite_full/mubi_road/mubi_road__yolo26l_default__botsort__full_frame/summary.json', 'per_frame_csv': 'results/ablation_suite_full/mubi_road/mubi_road__yolo26l_default__botsort__full_frame/per_frame.csv', 'annotated_video': 'results/ablation_suite_full/mubi_road/mubi_road__yolo26l_default__botsort__full_frame/annotated.mp4'}"
mubi_road__yolo26l_default__botsort__roi,mubi_road,./datasets/test/20260131_170349h_mubi_road.mp4,./baseline/mubi_road_mp4_baseline_vehicle_count.csv,"evening, higher congestion, cloudy / low visibility",yolo26l_default,YOLO26l default,YOLO26l,default,yolo26l.pt,botsort,botsort.yaml,roi,"[(320, 600), (1280, 600), (1280, 560), (320, 560)]",0.25,0.45,"[2, 3, 5, 7]",12600,12600,30.0,218.6450297832489,57.62765342752523,231,218,9209.999999999998,39.870129870129865,0.439736130766885,"{'segments_csv': 'results/ablation_suite_full/mubi_road/mubi_road__yolo26l_default__botsort__roi/region_segments.csv', 'summary_json': 'results/ablation_suite_full/mubi_road/mubi_road__yolo26l_default__botsort__roi/summary.json', 'per_frame_csv': 'results/ablation_suite_full/mubi_road/mubi_road__yolo26l_default__botsort__roi/per_frame.csv', 'annotated_video': 'results/ablation_suite_full/mubi_road/mubi_road__yolo26l_default__botsort__roi/annotated.mp4'}"
mubi_road__yolo26l_default__bytetrack__full_frame,mubi_road,./datasets/test/20260131_170349h_mubi_road.mp4,./baseline/mubi_road_mp4_baseline_vehicle_count.csv,"evening, higher congestion, cloudy / low visibility",yolo26l_default,YOLO26l default,YOLO26l,default,yolo26l.pt,bytetrack,bytetrack.yaml,full_frame,"[(320, 600), (1280, 600), (1280, 560), (320, 560)]",0.25,0.45,"[2, 3, 5, 7]",12600,12600,30.0,122.96923637390137,102.46465190438629,848,848,175125.8333333333,206.51631289308173,0.3795227440421745,"{'segments_csv': 'results/ablation_suite_full/mubi_road/mubi_road__yolo26l_default__bytetrack__full_frame/region_segments.csv', 'summary_json': 'results/ablation_suite_full/mubi_road/mubi_road__yolo26l_default__bytetrack__full_frame/summary.json', 'per_frame_csv': 'results/ablation_suite_full/mubi_road/mubi_road__yolo26l_default__bytetrack__full_frame/per_frame.csv', 'annotated_video': 'results/ablation_suite_full/mubi_road/mubi_road__yolo26l_default__bytetrack__full_frame/annotated.mp4'}"
mubi_road__yolo26l_default__bytetrack__roi,mubi_road,./datasets/test/20260131_170349h_mubi_road.mp4,./baseline/mubi_road_mp4_baseline_vehicle_count.csv,"evening, higher congestion, cloudy / low visibility",yolo26l_default,YOLO26l default,YOLO26l,default,yolo26l.pt,bytetrack,bytetrack.yaml,roi,"[(320, 600), (1280, 600), (1280, 560), (320, 560)]",0.25,0.45,"[2, 3, 5, 7]",12600,12600,30.0,122.57899713516235,102.79085564802384,219,210,9969.666666666666,45.52359208523592,0.45027106324615146,"{'segments_csv': 'results/ablation_suite_full/mubi_road/mubi_road__yolo26l_default__bytetrack__roi/region_segments.csv', 'summary_json': 'results/ablation_suite_full/mubi_road/mubi_road__yolo26l_default__bytetrack__roi/summary.json', 'per_frame_csv': 'results/ablation_suite_full/mubi_road/mubi_road__yolo26l_default__bytetrack__roi/per_frame.csv', 'annotated_video': 'results/ablation_suite_full/mubi_road/mubi_road__yolo26l_default__bytetrack__roi/annotated.mp4'}"
mubi_road__yolo26l_tuned__botsort__full_frame,mubi_road,./datasets/test/20260131_170349h_mubi_road.mp4,./baseline/mubi_road_mp4_baseline_vehicle_count.csv,"evening, higher congestion, cloudy / low visibility",yolo26l_tuned,YOLO26l tuned,YOLO26l,tuned,runs/detect/train_yolo26l/weights/best.pt,botsort,botsort.yaml,full_frame,"[(320, 600), (1280, 600), (1280, 560), (320, 560)]",0.25,0.45,,12600,12600,30.0,221.76749658584595,56.81626114728023,1980,1980,423647.2,213.96323232323232,0.4157487360044008,"{'segments_csv': 'results/ablation_suite_full/mubi_road/mubi_road__yolo26l_tuned__botsort__full_frame/region_segments.csv', 'summary_json': 'results/ablation_suite_full/mubi_road/mubi_road__yolo26l_tuned__botsort__full_frame/summary.json', 'per_frame_csv': 'results/ablation_suite_full/mubi_road/mubi_road__yolo26l_tuned__botsort__full_frame/per_frame.csv', 'annotated_video': 'results/ablation_suite_full/mubi_road/mubi_road__yolo26l_tuned__botsort__full_frame/annotated.mp4'}"
mubi_road__yolo26l_tuned__botsort__roi,mubi_road,./datasets/test/20260131_170349h_mubi_road.mp4,./baseline/mubi_road_mp4_baseline_vehicle_count.csv,"evening, higher congestion, cloudy / low visibility",yolo26l_tuned,YOLO26l tuned,YOLO26l,tuned,runs/detect/train_yolo26l/weights/best.pt,botsort,botsort.yaml,roi,"[(320, 600), (1280, 600), (1280, 560), (320, 560)]",0.25,0.45,,12600,12600,30.0,221.87087774276733,56.78978750247785,594,545,38748.399999999994,65.23299663299662,0.5165447447731771,"{'segments_csv': 'results/ablation_suite_full/mubi_road/mubi_road__yolo26l_tuned__botsort__roi/region_segments.csv', 'summary_json': 'results/ablation_suite_full/mubi_road/mubi_road__yolo26l_tuned__botsort__roi/summary.json', 'per_frame_csv': 'results/ablation_suite_full/mubi_road/mubi_road__yolo26l_tuned__botsort__roi/per_frame.csv', 'annotated_video': 'results/ablation_suite_full/mubi_road/mubi_road__yolo26l_tuned__botsort__roi/annotated.mp4'}"
mubi_road__yolo26l_tuned__bytetrack__full_frame,mubi_road,./datasets/test/20260131_170349h_mubi_road.mp4,./baseline/mubi_road_mp4_baseline_vehicle_count.csv,"evening, higher congestion, cloudy / low visibility",yolo26l_tuned,YOLO26l tuned,YOLO26l,tuned,runs/detect/train_yolo26l/weights/best.pt,bytetrack,bytetrack.yaml,full_frame,"[(320, 600), (1280, 600), (1280, 560), (320, 560)]",0.25,0.45,,12600,12600,30.0,126.96681308746338,99.23853086963963,2094,2094,448509.69999999995,214.1880133715377,0.4285208319899532,"{'segments_csv': 'results/ablation_suite_full/mubi_road/mubi_road__yolo26l_tuned__bytetrack__full_frame/region_segments.csv', 'summary_json': 'results/ablation_suite_full/mubi_road/mubi_road__yolo26l_tuned__bytetrack__full_frame/summary.json', 'per_frame_csv': 'results/ablation_suite_full/mubi_road/mubi_road__yolo26l_tuned__bytetrack__full_frame/per_frame.csv', 'annotated_video': 'results/ablation_suite_full/mubi_road/mubi_road__yolo26l_tuned__bytetrack__full_frame/annotated.mp4'}"
