experiment_key,plot_label,video_key,architecture,variant,tracker,region_mode,direction,class,tp,fp,fn,precision,recall,f1,matched_time_mae_s,match_tolerance_s,min_duration_s,max_duration_s,min_avg_conf
mubi_road__yolo11l_default__botsort__full_frame,YOLO11l default | botsort | Full frame,mubi_road,YOLO11l,default,botsort,full_frame,downward,bus,0,5,1,0.0,0.0,,,1.0,0.15,10.0,0.4
mubi_road__yolo11l_default__botsort__full_frame,YOLO11l default | botsort | Full frame,mubi_road,YOLO11l,default,botsort,full_frame,downward,car,0,0,35,,0.0,,,1.0,0.15,10.0,0.4
mubi_road__yolo11l_default__botsort__full_frame,YOLO11l default | botsort | Full frame,mubi_road,YOLO11l,default,botsort,full_frame,downward,keke,0,0,156,,0.0,,,1.0,0.15,10.0,0.4
mubi_road__yolo11l_default__botsort__full_frame,YOLO11l default | botsort | Full frame,mubi_road,YOLO11l,default,botsort,full_frame,downward,truck,0,0,2,,0.0,,,1.0,0.15,10.0,0.4
mubi_road__yolo11l_default__botsort__full_frame,YOLO11l default | botsort | Full frame,mubi_road,YOLO11l,default,botsort,full_frame,upward,bus,0,1,0,0.0,,,,1.0,0.15,10.0,0.4
mubi_road__yolo11l_default__botsort__full_frame,YOLO11l default | botsort | Full frame,mubi_road,YOLO11l,default,botsort,full_frame,upward,car,0,6,17,0.0,0.0,,,1.0,0.15,10.0,0.4
mubi_road__yolo11l_default__botsort__full_frame,YOLO11l default | botsort | Full frame,mubi_road,YOLO11l,default,botsort,full_frame,upward,keke,0,0,120,,0.0,,,1.0,0.15,10.0,0.4
mubi_road__yolo11l_default__botsort__full_frame,YOLO11l default | botsort | Full frame,mubi_road,YOLO11l,default,botsort,full_frame,upward,truck,0,1,5,0.0,0.0,,,1.0,0.15,10.0,0.4
mubi_road__yolo11l_default__botsort__roi,YOLO11l default | botsort | ROI,mubi_road,YOLO11l,default,botsort,roi,downward,bus,1,49,0,0.02,1.0,0.0392156862745098,0.6666666666666572,1.0,0.15,10.0,0.4
mubi_road__yolo11l_default__botsort__roi,YOLO11l default | botsort | ROI,mubi_road,YOLO11l,default,botsort,roi,downward,car,33,58,2,0.3626373626373626,0.9428571428571428,0.5238095238095237,0.18888888888888408,1.0,0.15,10.0,0.4
mubi_road__yolo11l_default__botsort__roi,YOLO11l default | botsort | ROI,mubi_road,YOLO11l,default,botsort,roi,downward,keke,0,0,156,,0.0,,,1.0,0.15,10.0,0.4
mubi_road__yolo11l_default__botsort__roi,YOLO11l default | botsort | ROI,mubi_road,YOLO11l,default,botsort,roi,downward,truck,1,54,1,0.01818181818181818,0.5,0.03508771929824561,0.9000000000000057,1.0,0.15,10.0,0.4
mubi_road__yolo11l_default__botsort__roi,YOLO11l default | botsort | ROI,mubi_road,YOLO11l,default,botsort,roi,upward,bus,0,2,0,0.0,,,,1.0,0.15,10.0,0.4
mubi_road__yolo11l_default__botsort__roi,YOLO11l default | botsort | ROI,mubi_road,YOLO11l,default,botsort,roi,upward,car,17,116,0,0.12781954887218044,1.0,0.22666666666666666,0.2352941176470561,1.0,0.15,10.0,0.4
mubi_road__yolo11l_default__botsort__roi,YOLO11l default | botsort | ROI,mubi_road,YOLO11l,default,botsort,roi,upward,keke,0,0,120,,0.0,,,1.0,0.15,10.0,0.4
mubi_road__yolo11l_default__botsort__roi,YOLO11l default | botsort | ROI,mubi_road,YOLO11l,default,botsort,roi,upward,truck,1,13,4,0.07142857142857142,0.2,0.10526315789473682,0.8999999999999773,1.0,0.15,10.0,0.4
mubi_road__yolo11l_default__bytetrack__full_frame,YOLO11l default | bytetrack | Full frame,mubi_road,YOLO11l,default,bytetrack,full_frame,downward,bus,0,5,1,0.0,0.0,,,1.0,0.15,10.0,0.4
mubi_road__yolo11l_default__bytetrack__full_frame,YOLO11l default | bytetrack | Full frame,mubi_road,YOLO11l,default,bytetrack,full_frame,downward,car,0,0,35,,0.0,,,1.0,0.15,10.0,0.4
mubi_road__yolo11l_default__bytetrack__full_frame,YOLO11l default | bytetrack | Full frame,mubi_road,YOLO11l,default,bytetrack,full_frame,downward,keke,0,0,156,,0.0,,,1.0,0.15,10.0,0.4
mubi_road__yolo11l_default__bytetrack__full_frame,YOLO11l default | bytetrack | Full frame,mubi_road,YOLO11l,default,bytetrack,full_frame,downward,truck,0,1,2,0.0,0.0,,,1.0,0.15,10.0,0.4
mubi_road__yolo11l_default__bytetrack__full_frame,YOLO11l default | bytetrack | Full frame,mubi_road,YOLO11l,default,bytetrack,full_frame,upward,bus,0,2,0,0.0,,,,1.0,0.15,10.0,0.4
mubi_road__yolo11l_default__bytetrack__full_frame,YOLO11l default | bytetrack | Full frame,mubi_road,YOLO11l,default,bytetrack,full_frame,upward,car,0,11,17,0.0,0.0,,,1.0,0.15,10.0,0.4
mubi_road__yolo11l_default__bytetrack__full_frame,YOLO11l default | bytetrack | Full frame,mubi_road,YOLO11l,default,bytetrack,full_frame,upward,keke,0,0,120,,0.0,,,1.0,0.15,10.0,0.4
mubi_road__yolo11l_default__bytetrack__full_frame,YOLO11l default | bytetrack | Full frame,mubi_road,YOLO11l,default,bytetrack,full_frame,upward,truck,0,1,5,0.0,0.0,,,1.0,0.15,10.0,0.4
mubi_road__yolo11l_default__bytetrack__roi,YOLO11l default | bytetrack | ROI,mubi_road,YOLO11l,default,bytetrack,roi,downward,bus,0,44,1,0.0,0.0,,,1.0,0.15,10.0,0.4
mubi_road__yolo11l_default__bytetrack__roi,YOLO11l default | bytetrack | ROI,mubi_road,YOLO11l,default,bytetrack,roi,downward,car,35,61,0,0.3645833333333333,1.0,0.5343511450381679,0.17999999999999575,1.0,0.15,10.0,0.4
mubi_road__yolo11l_default__bytetrack__roi,YOLO11l default | bytetrack | ROI,mubi_road,YOLO11l,default,bytetrack,roi,downward,keke,0,0,156,,0.0,,,1.0,0.15,10.0,0.4
mubi_road__yolo11l_default__bytetrack__roi,YOLO11l default | bytetrack | ROI,mubi_road,YOLO11l,default,bytetrack,roi,downward,truck,1,60,1,0.01639344262295082,0.5,0.031746031746031744,0.8666666666666742,1.0,0.15,10.0,0.4
mubi_road__yolo11l_default__bytetrack__roi,YOLO11l default | bytetrack | ROI,mubi_road,YOLO11l,default,bytetrack,roi,upward,bus,0,5,0,0.0,,,,1.0,0.15,10.0,0.4
mubi_road__yolo11l_default__bytetrack__roi,YOLO11l default | bytetrack | ROI,mubi_road,YOLO11l,default,bytetrack,roi,upward,car,17,103,0,0.14166666666666666,1.0,0.24817518248175183,0.23725490196078192,1.0,0.15,10.0,0.4
mubi_road__yolo11l_default__bytetrack__roi,YOLO11l default | bytetrack | ROI,mubi_road,YOLO11l,default,bytetrack,roi,upward,keke,0,0,120,,0.0,,,1.0,0.15,10.0,0.4
mubi_road__yolo11l_default__bytetrack__roi,YOLO11l default | bytetrack | ROI,mubi_road,YOLO11l,default,bytetrack,roi,upward,truck,2,15,3,0.11764705882352941,0.4,0.1818181818181818,0.46666666666664014,1.0,0.15,10.0,0.4
mubi_road__yolo11l_tuned__botsort__full_frame,YOLO11l tuned | botsort | Full frame,mubi_road,YOLO11l,tuned,botsort,full_frame,downward,bus,0,0,1,,0.0,,,1.0,0.15,10.0,0.4
mubi_road__yolo11l_tuned__botsort__full_frame,YOLO11l tuned | botsort | Full frame,mubi_road,YOLO11l,tuned,botsort,full_frame,downward,car,1,4,34,0.2,0.02857142857142857,0.049999999999999996,0.13333333333332575,1.0,0.15,10.0,0.4
mubi_road__yolo11l_tuned__botsort__full_frame,YOLO11l tuned | botsort | Full frame,mubi_road,YOLO11l,tuned,botsort,full_frame,downward,keke,0,0,156,,0.0,,,1.0,0.15,10.0,0.4
mubi_road__yolo11l_tuned__botsort__full_frame,YOLO11l tuned | botsort | Full frame,mubi_road,YOLO11l,tuned,botsort,full_frame,downward,truck,0,2,2,0.0,0.0,,,1.0,0.15,10.0,0.4
mubi_road__yolo11l_tuned__botsort__full_frame,YOLO11l tuned | botsort | Full frame,mubi_road,YOLO11l,tuned,botsort,full_frame,upward,bus,0,0,0,,,,,1.0,0.15,10.0,0.4
mubi_road__yolo11l_tuned__botsort__full_frame,YOLO11l tuned | botsort | Full frame,mubi_road,YOLO11l,tuned,botsort,full_frame,upward,car,0,7,17,0.0,0.0,,,1.0,0.15,10.0,0.4
mubi_road__yolo11l_tuned__botsort__full_frame,YOLO11l tuned | botsort | Full frame,mubi_road,YOLO11l,tuned,botsort,full_frame,upward,keke,0,0,120,,0.0,,,1.0,0.15,10.0,0.4
mubi_road__yolo11l_tuned__botsort__full_frame,YOLO11l tuned | botsort | Full frame,mubi_road,YOLO11l,tuned,botsort,full_frame,upward,truck,0,1,5,0.0,0.0,,,1.0,0.15,10.0,0.4
mubi_road__yolo11l_tuned__botsort__roi,YOLO11l tuned | botsort | ROI,mubi_road,YOLO11l,tuned,botsort,roi,downward,bus,1,6,0,0.14285714285714285,1.0,0.25,0.6999999999999886,1.0,0.15,10.0,0.4
mubi_road__yolo11l_tuned__botsort__roi,YOLO11l tuned | botsort | ROI,mubi_road,YOLO11l,tuned,botsort,roi,downward,car,34,102,1,0.25,0.9714285714285714,0.39766081871345027,0.2098039215686243,1.0,0.15,10.0,0.4
mubi_road__yolo11l_tuned__botsort__roi,YOLO11l tuned | botsort | ROI,mubi_road,YOLO11l,tuned,botsort,roi,downward,keke,17,3,139,0.85,0.10897435897435898,0.1931818181818182,0.2392156862745067,1.0,0.15,10.0,0.4
mubi_road__yolo11l_tuned__botsort__roi,YOLO11l tuned | botsort | ROI,mubi_road,YOLO11l,tuned,botsort,roi,downward,truck,1,29,1,0.03333333333333333,0.5,0.0625,0.23333333333332007,1.0,0.15,10.0,0.4
mubi_road__yolo11l_tuned__botsort__roi,YOLO11l tuned | botsort | ROI,mubi_road,YOLO11l,tuned,botsort,roi,upward,bus,0,2,0,0.0,,,,1.0,0.15,10.0,0.4
mubi_road__yolo11l_tuned__botsort__roi,YOLO11l tuned | botsort | ROI,mubi_road,YOLO11l,tuned,botsort,roi,upward,car,17,100,0,0.1452991452991453,1.0,0.2537313432835821,0.22745098039215458,1.0,0.15,10.0,0.4
mubi_road__yolo11l_tuned__botsort__roi,YOLO11l tuned | botsort | ROI,mubi_road,YOLO11l,tuned,botsort,roi,upward,keke,18,2,102,0.9,0.15,0.2571428571428572,0.4722222222222222,1.0,0.15,10.0,0.4
mubi_road__yolo11l_tuned__botsort__roi,YOLO11l tuned | botsort | ROI,mubi_road,YOLO11l,tuned,botsort,roi,upward,truck,1,8,4,0.1111111111111111,0.2,0.14285714285714285,0.8999999999999773,1.0,0.15,10.0,0.4
mubi_road__yolo11l_tuned__bytetrack__full_frame,YOLO11l tuned | bytetrack | Full frame,mubi_road,YOLO11l,tuned,bytetrack,full_frame,downward,bus,0,0,1,,0.0,,,1.0,0.15,10.0,0.4
mubi_road__yolo11l_tuned__bytetrack__full_frame,YOLO11l tuned | bytetrack | Full frame,mubi_road,YOLO11l,tuned,bytetrack,full_frame,downward,car,1,6,34,0.14285714285714285,0.02857142857142857,0.04761904761904761,0.30000000000001137,1.0,0.15,10.0,0.4
mubi_road__yolo11l_tuned__bytetrack__full_frame,YOLO11l tuned | bytetrack | Full frame,mubi_road,YOLO11l,tuned,bytetrack,full_frame,downward,keke,0,0,156,,0.0,,,1.0,0.15,10.0,0.4
mubi_road__yolo11l_tuned__bytetrack__full_frame,YOLO11l tuned | bytetrack | Full frame,mubi_road,YOLO11l,tuned,bytetrack,full_frame,downward,truck,0,1,2,0.0,0.0,,,1.0,0.15,10.0,0.4
mubi_road__yolo11l_tuned__bytetrack__full_frame,YOLO11l tuned | bytetrack | Full frame,mubi_road,YOLO11l,tuned,bytetrack,full_frame,upward,bus,0,0,0,,,,,1.0,0.15,10.0,0.4
mubi_road__yolo11l_tuned__bytetrack__full_frame,YOLO11l tuned | bytetrack | Full frame,mubi_road,YOLO11l,tuned,bytetrack,full_frame,upward,car,0,9,17,0.0,0.0,,,1.0,0.15,10.0,0.4
mubi_road__yolo11l_tuned__bytetrack__full_frame,YOLO11l tuned | bytetrack | Full frame,mubi_road,YOLO11l,tuned,bytetrack,full_frame,upward,keke,0,2,120,0.0,0.0,,,1.0,0.15,10.0,0.4
mubi_road__yolo11l_tuned__bytetrack__full_frame,YOLO11l tuned | bytetrack | Full frame,mubi_road,YOLO11l,tuned,bytetrack,full_frame,upward,truck,0,1,5,0.0,0.0,,,1.0,0.15,10.0,0.4
mubi_road__yolo11l_tuned__bytetrack__roi,YOLO11l tuned | bytetrack | ROI,mubi_road,YOLO11l,tuned,bytetrack,roi,downward,bus,1,5,0,0.16666666666666666,1.0,0.2857142857142857,0.6999999999999886,1.0,0.15,10.0,0.4
mubi_road__yolo11l_tuned__bytetrack__roi,YOLO11l tuned | bytetrack | ROI,mubi_road,YOLO11l,tuned,bytetrack,roi,downward,car,34,91,1,0.272,0.9714285714285714,0.42500000000000004,0.20980392156862682,1.0,0.15,10.0,0.4
mubi_road__yolo11l_tuned__bytetrack__roi,YOLO11l tuned | bytetrack | ROI,mubi_road,YOLO11l,tuned,bytetrack,roi,downward,keke,16,4,140,0.8,0.10256410256410256,0.18181818181818182,0.29374999999999535,1.0,0.15,10.0,0.4
mubi_road__yolo11l_tuned__bytetrack__roi,YOLO11l tuned | bytetrack | ROI,mubi_road,YOLO11l,tuned,bytetrack,roi,downward,truck,1,41,1,0.023809523809523808,0.5,0.04545454545454545,0.23333333333332007,1.0,0.15,10.0,0.4
mubi_road__yolo11l_tuned__bytetrack__roi,YOLO11l tuned | bytetrack | ROI,mubi_road,YOLO11l,tuned,bytetrack,roi,upward,bus,0,2,0,0.0,,,,1.0,0.15,10.0,0.4
mubi_road__yolo11l_tuned__bytetrack__roi,YOLO11l tuned | bytetrack | ROI,mubi_road,YOLO11l,tuned,bytetrack,roi,upward,car,17,97,0,0.14912280701754385,1.0,0.2595419847328244,0.22745098039215458,1.0,0.15,10.0,0.4
mubi_road__yolo11l_tuned__bytetrack__roi,YOLO11l tuned | bytetrack | ROI,mubi_road,YOLO11l,tuned,bytetrack,roi,upward,keke,21,2,99,0.9130434782608695,0.175,0.29370629370629375,0.36031746031745826,1.0,0.15,10.0,0.4
mubi_road__yolo11l_tuned__bytetrack__roi,YOLO11l tuned | bytetrack | ROI,mubi_road,YOLO11l,tuned,bytetrack,roi,upward,truck,1,5,4,0.16666666666666666,0.2,0.1818181818181818,0.8999999999999773,1.0,0.15,10.0,0.4
mubi_road__yolo26l_default__botsort__full_frame,YOLO26l default | botsort | Full frame,mubi_road,YOLO26l,default,botsort,full_frame,downward,bus,0,0,1,,0.0,,,1.0,0.15,10.0,0.4
mubi_road__yolo26l_default__botsort__full_frame,YOLO26l default | botsort | Full frame,mubi_road,YOLO26l,default,botsort,full_frame,downward,car,0,0,35,,0.0,,,1.0,0.15,10.0,0.4
mubi_road__yolo26l_default__botsort__full_frame,YOLO26l default | botsort | Full frame,mubi_road,YOLO26l,default,botsort,full_frame,downward,keke,0,0,156,,0.0,,,1.0,0.15,10.0,0.4
mubi_road__yolo26l_default__botsort__full_frame,YOLO26l default | botsort | Full frame,mubi_road,YOLO26l,default,botsort,full_frame,downward,truck,0,0,2,,0.0,,,1.0,0.15,10.0,0.4
mubi_road__yolo26l_default__botsort__full_frame,YOLO26l default | botsort | Full frame,mubi_road,YOLO26l,default,botsort,full_frame,upward,bus,0,0,0,,,,,1.0,0.15,10.0,0.4
mubi_road__yolo26l_default__botsort__full_frame,YOLO26l default | botsort | Full frame,mubi_road,YOLO26l,default,botsort,full_frame,upward,car,0,0,17,,0.0,,,1.0,0.15,10.0,0.4
mubi_road__yolo26l_default__botsort__full_frame,YOLO26l default | botsort | Full frame,mubi_road,YOLO26l,default,botsort,full_frame,upward,keke,0,0,120,,0.0,,,1.0,0.15,10.0,0.4
mubi_road__yolo26l_default__botsort__full_frame,YOLO26l default | botsort | Full frame,mubi_road,YOLO26l,default,botsort,full_frame,upward,truck,0,0,5,,0.0,,,1.0,0.15,10.0,0.4
mubi_road__yolo26l_default__botsort__roi,YOLO26l default | botsort | ROI,mubi_road,YOLO26l,default,botsort,roi,downward,bus,0,1,1,0.0,0.0,,,1.0,0.15,10.0,0.4
mubi_road__yolo26l_default__botsort__roi,YOLO26l default | botsort | ROI,mubi_road,YOLO26l,default,botsort,roi,downward,car,32,10,3,0.7619047619047619,0.9142857142857143,0.8311688311688312,0.18541666666666123,1.0,0.15,10.0,0.4
mubi_road__yolo26l_default__botsort__roi,YOLO26l default | botsort | ROI,mubi_road,YOLO26l,default,botsort,roi,downward,keke,0,0,156,,0.0,,,1.0,0.15,10.0,0.4
mubi_road__yolo26l_default__botsort__roi,YOLO26l default | botsort | ROI,mubi_road,YOLO26l,default,botsort,roi,downward,truck,0,3,2,0.0,0.0,,,1.0,0.15,10.0,0.4
mubi_road__yolo26l_default__botsort__roi,YOLO26l default | botsort | ROI,mubi_road,YOLO26l,default,botsort,roi,upward,bus,0,1,0,0.0,,,,1.0,0.15,10.0,0.4
mubi_road__yolo26l_default__botsort__roi,YOLO26l default | botsort | ROI,mubi_road,YOLO26l,default,botsort,roi,upward,car,15,12,2,0.5555555555555556,0.8823529411764706,0.6818181818181819,0.19555555555554777,1.0,0.15,10.0,0.4
mubi_road__yolo26l_default__botsort__roi,YOLO26l default | botsort | ROI,mubi_road,YOLO26l,default,botsort,roi,upward,keke,0,0,120,,0.0,,,1.0,0.15,10.0,0.4
mubi_road__yolo26l_default__botsort__roi,YOLO26l default | botsort | ROI,mubi_road,YOLO26l,default,botsort,roi,upward,truck,0,0,5,,0.0,,,1.0,0.15,10.0,0.4
mubi_road__yolo26l_default__bytetrack__full_frame,YOLO26l default | bytetrack | Full frame,mubi_road,YOLO26l,default,bytetrack,full_frame,downward,bus,0,0,1,,0.0,,,1.0,0.15,10.0,0.4
mubi_road__yolo26l_default__bytetrack__full_frame,YOLO26l default | bytetrack | Full frame,mubi_road,YOLO26l,default,bytetrack,full_frame,downward,car,0,0,35,,0.0,,,1.0,0.15,10.0,0.4
mubi_road__yolo26l_default__bytetrack__full_frame,YOLO26l default | bytetrack | Full frame,mubi_road,YOLO26l,default,bytetrack,full_frame,downward,keke,0,0,156,,0.0,,,1.0,0.15,10.0,0.4
mubi_road__yolo26l_default__bytetrack__full_frame,YOLO26l default | bytetrack | Full frame,mubi_road,YOLO26l,default,bytetrack,full_frame,downward,truck,0,0,2,,0.0,,,1.0,0.15,10.0,0.4
mubi_road__yolo26l_default__bytetrack__full_frame,YOLO26l default | bytetrack | Full frame,mubi_road,YOLO26l,default,bytetrack,full_frame,upward,bus,0,0,0,,,,,1.0,0.15,10.0,0.4
